S. No.,Company Name,Status,Group ID
1,GoYzer Tech,Active,2677
2,Utopia Corporation,Inactive,2676
3,Yamu Corporation,Inactive,5001
4,Property Shop Investment,Active,5002
5,QA,Active,5003
6,Oryx Management,Active,5004
7,Dubai Islamic Bank,Active,5005
8,Irtikaz Property Management,Inactive,5006
9,PSI 2,Active,5007
10,Mixta,Active,5008
11,Al Forsan Real Estate,Active,5009
12,Prophunters Real Estate,Active,5011
13,Star Real Estate,Inactive,5013
14,Eastern Sands,Active,5014
15,Cherwell,Inactive,5015
16,Better Homes,Active,5016
17,Bhomes,Active,5017
18,Arab Vision,Active,5018
19,Zeus System,inactive,5019
20,Goyzer Lite,Active,5020
21,Tamani Properties,Active,5021
22,Trx Staging System,Active,5056
23,Savoir,Active,5023
24,Amin & Wilson,Inactive,5024
25,Loka Real Estate,Inactive,5026
26,Carlton,Inactive,5027
27,M&M Real Estate Brokerage,Inactive,5028
28,Chestertons MENA,Active,5029
29,Al Asad Real Estate,Active,5030
30,Elite Estates Real Estate Broker,Active,5031
31,Habibi Properties,Active,5032
32,Powerhouse Real Estate,Active,5033
33,Leon Properties,Active,5034
34,Linda Real Estate,Active,5097
35,Ascot and Co,Active,5036
36,CRC Real Estate,Active,5037
37,Casabella Property Broker LLC,Active,5038
38,Emtelak Properties,Active,5039
39,Stars and Sands Properties,Active,5040
40,Goyzer Own Group,Active,5041
41,Home Space Realtors,Active,5042
42,Colliers,Active,5043
43,Strada UAE,Active,5044
44,EVA Real Estate LLC,Active,5045
45,Positive Properties,Active,5046
46,Luke Stays Luxury Real Estate,Active,5047
47,Jade & Co Real Estate,Active,5048
48,Emirates Post Group (EPG),Active,5049
49,United Plaza Real Estate,Active,5050
50,Zealway Real Estate,Active,5051
51,The Urban Nest Real Estate LLC,Active,5052
52,Sustainable Homes Real Estate,Active,5053
53,First Point Real Estate Brokerage,Active,5054
54,Best Luxury Properties ,Active,5055
55,Palma Real Estate,Active,5057
56,National Homes Real Estate,Active,5058
57,Williams International,Active,5059
58,Homes Jordan (Hummer Contracting),Active,5060
59,Dubai Sport City,Active,5061
60,Christies International Real Estate,Active,5062
61,BlackBrick Property LLC,Active,5063
62,Irwin REal Estate,Active,5064
63,Mayfield International Real Estate,Active,5065
64,"Ports, Customs and Free Zone Corporation ",Active,5066
65,Blue Coast Real Estate ,Active,5067
66,Investalet,Active,5068
67,Point Blank Properties,Active,5069
68,Zed Capital Real Estate,Active,5070
69,Buy Own House Property ,Active,5071
70,Moonstay Real Estate,Active,5072
71,Sino Gulf,Active,5073
72,Roya Solutions Group,Active,5074
73,Savills Middle East,Active,5075
74,Haus and Haus,Active,5076
75,City Luxe Real Estate,Active,5077
76,La Capitale Real Estate,Active,5078
77,D&B Properties,Active,5079
78,Prime Location Property Real Estate,Active,5080
79,Bramwell & Partners Real Estate,Active,5081
80,The Luxury Collection Real Estate,Active,5082
81,The Noble House Real Estate,Active,5083
82,Range International ,Active,5084
83,Aqua Properties,Active,5085
84,Worldfield Real Estate,Active,5086
85,Family Homes Real Estate L.L.C,Active,5087
86,DB Dedicated for Trainings.,Active,5088
87,Ahmadyar Developments,Active,5089
88,IQ Pro Real Estate ,Active,5091
89,Locke Lifestyle Properties,Active,5092
90,V serve Real Estate LLC,Active,5093
91,Luxury Escape,Active,5094
92,Luxury Invest,Active,5095
93,Apex Real Estate,Active,5096
94,Linda Real Estate,Active,5097
95,Pulse Real Estate,Active,5098
96,Horizon Vista Real Estate,Active,5099
97,Sequoia Properties,Active,5101
98,Keller Williams ,Active,5102
99,Key One Realty Group,Active,5103
100,Mayak Real Estate,Active,5104
101,Property Matters,Active,5105
102,Fifty Two Real Estate,Active,5106
103,Signature Homes,Active,5107
104,Manresa Real Estate,Active,5108
105,Pangea Properties,Active,5109
106,Amaal Emirates,Active,5110
107,Henry Wiltshire International,Active,5111
108,Kevo Living,Active,5112
109,Remal Properties,Active,5113
110,Al Mamzar Real Estate And Commercial Broker,Active,5114
111,Better Homes Qatar,Active,5115
112,Wakhan Properties,Active,5116
113,AJ Gargash Real Estate Development,Active,5118
114,Mohammad Al Sayed Ibrahim,Active,5119
115,VIP Luxury Homes Real Estate,Active,5120
116,Republik Real Estate (Abu Dhabi),Active,5121
117,Stage Properties,Active,5122
118,Acres & Squares Real Estate,Active,5123
119,Al Ansari Real Estate Development LLC,Active,5124
120,Bhomes DSC,Active,5126
121,Audley's International Real Estate,Active,5125
122,Cavendish Maxwell,Active,5127
123,Al Ain Properties LLC,Active,5128
124,R H E M Properties L.L.C,Active,5129
125,SunShine Properties Real Estate Broker ,Active,5130
126,Capstone Real Estate L.L.C,Active,5131
127,Phoenix Homes Real Estate,Active,5133
128,Royce International Realty,Active,5134
129,Roots Heritage,Active,5135
130,Tulip-al Thahabi,Active,5136
131,Xpotential Real Estate Brokers,,
131,Xpotential Real Estate Brokers,Active,5137
132,Avenew Real Estate,Active,5138
133,PuraNova Properties LLC,Active,5139
134,Union Square House Real Estate,Active,5140
135,PropBay Universal Real Estate Brokerage,Active,5141
136,Lusso Real Estate,Active,5142
137,Luxbridge International Realty,Active,5143
138,MNA Properties,Active,5144
139,Elton Developers,Active,5145
140,Harbor Real Estate,Active,5146